customer_id,nome,email,telefone,cidade,estado,data_nascimento,sexo,data_cadastro
1,Brayan da Costa,bnovaes@example.org,+55 71 6050-8602,Cirino,PE,1995-06-28,M,2024-06-12
2,Nicole Ribeiro,isabella17@example.org,+55 71 2212-8087,Fogaça,MT,1962-03-19,F,2025-09-07
3,Léo Montenegro,isabella05@example.com,71 6186-1539,da Mata Paulista,RS,1971-02-07,M,2024-06-08
4,Bernardo Carvalho,igordas-neves@example.com,(081) 8637 3931,Albuquerque,RR,2003-09-06,M,2024-09-21
5,Bryan Aparecida,xrocha@example.org,+55 21 7450 7695,Cavalcante,SP,1990-02-23,M,2024-03-06
6,Calebe Nascimento,pietro38@example.com,31 8003 6854,Garcia,PA,1978-08-31,F,2024-04-09
7,Sra. Luna Cunha,isabellapacheco@example.org,31 7028 9096,Farias,AP,2005-09-03,M,2024-10-23
8,Valentina Teixeira,lucas-gabrielgomes@example.com,+55 (084) 3947-8170,Albuquerque de Rezende,PB,1979-08-20,M,2025-04-09
9,Maria Flor Pereira,dcampos@example.com,(081) 9674 5240,Sousa,SC,1991-04-27,M,2025-09-18
10,Elisa Montenegro,gcastro@example.com,+55 (011) 9334-7209,Moreira,CE,1996-08-16,M,2025-06-15
11,Davi Luiz Moraes,stella37@example.net,+55 (011) 0266-7859,Siqueira,GO,1988-10-20,F,2024-01-15
12,Yuri Sampaio,maria-julia41@example.com,(084) 3975-6053,Cavalcanti,PA,1994-09-09,M,2024-03-01
13,Enzo Campos,aragaoalexandre@example.net,+55 61 9334 8198,da Mata do Amparo,RN,1955-04-18,M,2023-09-22
14,Sr. Antônio Moraes,ocavalcanti@example.net,(041) 4399 9021,Cardoso,MA,1964-02-19,F,2024-10-03
15,Luiz Henrique Souza,ymartins@example.org,+55 (071) 1694-0635,Nunes,PI,1996-12-01,M,2024-10-28
16,Lara Araújo,arthurgomes@example.org,31 0532 3938,Rodrigues,RJ,1967-06-08,M,2024-11-27
17,Antônio da Rosa,luigi59@example.org,(041) 7795-1818,Pastor do Sul,MG,2005-04-16,F,2024-05-12
18,Sr. Leandro Castro,usousa@example.net,(021) 8168-6679,Sousa,DF,1995-11-17,F,2023-12-14
19,Bella Cardoso,apollolima@example.com,+55 11 7903 9664,Camargo,DF,1989-04-03,F,2024-11-23
20,Dr. Calebe Cavalcanti,aylapacheco@example.com,(081) 7106 3176,Câmara,RN,1959-05-05,F,2025-06-06
21,Kamilly Cavalcante,marcos-viniciuscosta@example.com,+55 (071) 8984 3722,Jesus de Siqueira,AL,2002-11-28,F,2024-07-29
22,Ana Carolina Montenegro,wcarvalho@example.net,0800-514-4380,Pinto de Minas,AC,1959-04-01,F,2024-05-28
23,Otávio Martins,araujoolivia@example.net,51 6787 7507,Ferreira,RS,2005-10-26,M,2025-08-14
24,Davi Luiz Castro,moreirahelena@example.com,+55 11 4319 8831,Ribeiro,SP,1960-10-11,F,2024-01-06
25,Sra. Mariana Jesus,jadecorreia@example.net,+55 (051) 6044-4058,Silva,DF,1996-06-28,M,2025-06-23
26,Francisco Leão,nicolascarvalho@example.com,+55 41 0242-3921,Almeida das Flores,CE,1987-06-16,F,2025-04-04
27,Enrico Santos,brayanpacheco@example.org,(051) 5230-2515,Novais da Serra,PE,1955-03-05,M,2024-06-13
28,Arthur Moreira,eleao@example.net,+55 (021) 6829 3289,Garcia Alegre,AC,2000-09-06,F,2025-04-14
29,José Miguel Gonçalves,elisa77@example.net,+55 (021) 6575-1213,Rezende,MG,1983-05-08,F,2024-08-21
30,Dante Almeida,hadassaviana@example.org,+55 11 9478-9164,Garcia do Sul,PA,1984-05-30,F,2024-06-12
31,Luigi Camargo,teixeiramathias@example.org,+55 41 2593 5037,Jesus,TO,1964-02-23,M,2025-09-04
32,Sr. Vitor Siqueira,da-pazalexia@example.com,+55 (031) 8371-5100,Vargas Alegre,AM,2005-06-03,M,2024-06-18
33,Maria Alice Aparecida,olivia82@example.net,+55 (051) 5120 7590,Oliveira Alegre,RR,1998-05-07,F,2024-02-10
34,Henry Melo,da-luzcaio@example.org,+55 (061) 3367 5214,Marques,MT,1968-05-31,M,2024-08-09
35,Murilo Machado,juliacamargo@example.org,(021) 2370-5857,Caldeira de Caldeira,MA,1969-02-01,F,2025-03-22
36,Mariane Fonseca,carolina60@example.org,(031) 1153-0993,Jesus do Norte,GO,1971-12-21,M,2025-02-04
37,Ana Cecília Cardoso,rafael33@example.com,+55 71 0863 2142,Pereira Alegre,TO,1990-01-02,F,2024-10-30
38,Dr. Isaque Sales,camposamanda@example.com,(071) 9673 7387,Lopes da Praia,RN,1978-05-13,M,2023-12-24
39,Srta. Manuella Vieira,luiz-gustavo63@example.com,+55 84 1132 1129,Castro,RN,1958-01-26,F,2024-09-15
40,Ágatha Aparecida,sfernandes@example.net,0900-885-4954,Dias,ES,1973-01-14,M,2025-08-29
41,Miguel Cassiano,brenopeixoto@example.org,+55 84 5567-6979,Ferreira do Amparo,SE,2004-11-23,F,2024-11-02
42,Dra. Ana Laura Pimenta,renancastro@example.org,+55 61 2375-8021,Vargas,GO,1995-04-19,F,2024-11-09
43,Lucas Gabriel Pimenta,novaisjosue@example.org,41 1092 1853,das Neves,BA,1980-02-01,M,2024-10-28
44,Sarah Moreira,leaoian@example.org,(011) 3630 9806,Araújo da Praia,ES,1991-09-10,F,2024-06-18
45,Maria Eduarda Monteiro,esouza@example.net,+55 41 3106-4941,Moura,SP,1960-10-14,F,2024-12-20
